Address,Status geocode,Formatted address,Latitude,Longitude,Type,Location Type,Country,Region,Crop,Nitrogen - High,Nitrogen - Medium,Nitrogen - Low,Phosphorous - High,Phosphorous - Medium,Phosphorous - Low,Potassium - High,Potassium - Medium,Potassium - Low,pH - Acidic,pH - Neutral,pH - Alkaline, 
"Parbhani, Maharashtra",Ok,"Parbhani, Maharashtra, India",19.2608384,76.774776,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.11%,5.27%,94.62%,0.06%,62.44%,37.50%,99.69%,0.16%,0.16%,0.41%,99.06%,0.54%,
"Pune, Maharashtra",Ok,"Pune, Maharashtra, India",18.5204303,73.8567437,"locality, political",APPROXIMATE,India,Maharashtra,"Sugarcane, Jowar (Sorghum), Bajra (Pearl Millet), Wheat, Rice, Vegetables",0.05%,10.54%,89.41%,24.12%,67.20%,8.68%,67.81%,30.75%,1.44%,0.19%,98.95%,0.86%,
"Raigad, Maharashtra",Ok,"Raigad, Maharashtra, India",18.2376278,73.4445392,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Ragi (Finger Millet), Vegetables, Fruits like Mango and Cashew",36.05%,26.13%,37.82%,35.60%,39.92%,24.48%,64.53%,29.60%,5.87%,1.79%,98.20%,0.01%,
"Ratnagiri, Maharashtra",Ok,"Ratnagiri, Maharashtra, India",16.990215,73.3120233,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Ragi (Finger Millet), Cashew, Mango (notably Alphonso)",5.45%,44.35%,50.20%,44.28%,37.06%,18.65%,74.01%,22.57%,3.42%,3.92%,96.03%,0.05%,
"Sangli, Maharashtra",Ok,"Sangli, Maharashtra, India",16.8523973,74.5814773,"locality, political",APPROXIMATE,India,Maharashtra,"Sugarcane, Grapes, Turmeric, Jowar (Sorghum), Groundnut",0.01%,1.92%,98.07%,29.99%,64.31%,5.70%,56.62%,39.05%,4.33%,0.01%,77.95%,22.04%,
"Satara, Maharashtra",Ok,"Satara, Maharashtra, India",17.6804639,74.018261,"locality, political",APPROXIMATE,India,Maharashtra,"Sugarcane, Jowar (Sorghum), Groundnut, Rice, Wheat",3.13%,26.95%,69.92%,55.06%,31.78%,13.16%,70.38%,24.92%,4.70%,1.69%,93.94%,4.37%,
"Sindhudurg, Maharashtra",Ok,"Sindhudurg, Maharashtra, India",16.1668396,73.5594128,"administrative_area_level_3, political",APPROXIMATE,India,Maharashtra,"Rice, Ragi (Finger Millet), Cashew, Mango, Coconut",0.12%,23.09%,76.80%,31.48%,46.24%,22.29%,83.58%,15.52%,0.90%,61.02%,38.90%,0.09%,
"Solapur, Maharashtra",Ok,"Solapur, Maharashtra, India",17.6599188,75.9063906,"locality, political",APPROXIMATE,India,Maharashtra,"Jowar (Sorghum), Bajra (Pearl Millet), Sugarcane, Wheat, Pomegranate",0.12%,0.76%,99.13%,5.17%,39.83%,54.99%,72.70%,24.24%,3.05%,0.08%,98.69%,1.23%,
"Thane, Maharashtra",Ok,"Thane, Maharashtra, India",19.2183307,72.9780897,"locality, political",APPROXIMATE,India,Maharashtra,"Rice, Ragi (Finger Millet), Vegetables, Fruits like Mango and Chikoo (Sapota)",0.65%,6.23%,93.12%,60.14%,20.22%,19.64%,49.61%,35.01%,15.38%,0.06%,99.94%,0%,
"Wardha, Maharashtra",Ok,"Wardha, Maharashtra, India",20.745319,78.6021946,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.18%,28.41%,71.41%,29.20%,30.13%,40.67%,91.32%,8.34%,0.34%,0.01%,99.79%,0.20%,
"Washim, Maharashtra",Ok,"Washim, Maharashtra 444505, India",20.111238,77.1303079,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.47%,15.20%,84.32%,4.07%,52.00%,43.93%,75.75%,23.44%,0.81%,0.20%,98.53%,1.27%,
"Yavatmal, Maharashtra",Ok,"Yavatmal, Maharashtra, India",20.3899385,78.1306846,"locality, political",APPROXIMATE,India,Maharashtra,"Cotton, Soybean, Jowar (Sorghum), Wheat, Tur (Pigeon Pea)",0.01%,2.07%,97.92%,59.26%,40.50%,0.25%,45.27%,54.32%,0.42%,0%,99.47%,0.53%,
"Alluri Sitarama Raju, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Millets, Maize",8.22%,57.45%,34.34%,42.44%,24.95%,32.61%,16.06%,38.44%,45.50%,2.22%,97.72%,0.06%,
"Anakapalli, Andhra Pradesh",Ok,"Anakapalle, Andhra Pradesh, India",17.6896435,83.0023634,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Sugarcane, Coconut",18.71%,24.55%,56.74%,82.65%,14.09%,3.26%,45.10%,41.02%,13.88%,0.64%,97.82%,1.55%,
"Anantapur, Andhra Pradesh",Ok,"Anantapur, Andhra Pradesh, India",14.6824455,77.6017089,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Jowar, Bajra",0.03%,5.81%,94.16%,76.23%,21.12%,2.65%,66.22%,30.77%,3.01%,0.08%,99.20%,0.72%,
"Annamayya, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Groundnut, Pulses",0.47%,3.58%,95.95%,45.64%,33.69%,20.67%,38.53%,57.58%,3.89%,0.30%,94.82%,4.88%,
"Bapatla, Andhra Pradesh",Ok,"Bapatla, Andhra Pradesh, India",15.9039445,80.4671375,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Chillies, Cotton",0.01%,17.80%,82.19%,1.10%,70.41%,28.49%,82.52%,15.82%,1.66%,0.37%,97.58%,2.05%,
"Chittoor, Andhra Pradesh",Ok,"Chittoor, Andhra Pradesh, India",13.217176,79.1003289,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Sugarcane, Tomato",0.05%,33.57%,66.38%,47.70%,36.19%,16.11%,30.03%,52.25%,17.72%,0.50%,95.01%,4.49%,
"Dr. B.R. Ambedkar Konaseema, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Coconut, Banana, Paddy",,,,,,,,,,,,,
"East Godavari, Andhra Pradesh",Ok,"East Godavari, Andhra Pradesh, India",17.32125,82.0407137,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Coconut, Banana",0.10%,21.17%,78.73%,2.23%,23.70%,74.08%,3.01%,56.45%,40.54%,0.01%,99.99%,0.01%,
"Eluru, Andhra Pradesh",Ok,"Eluru, Andhra Pradesh, India",16.7106604,81.0952431,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Sugarcane, Paddy, Maize",0%,0.72%,99.28%,74.50%,11.54%,13.96%,35.61%,39.86%,24.54%,1.79%,96.99%,1.21%,
"Guntur, Andhra Pradesh",Ok,"Guntur, Andhra Pradesh, India",16.3066525,80.4365402,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Chillies, Cotton, Paddy",0.83%,9.73%,89.44%,91.48%,6.46%,2.06%,82.61%,12.86%,4.53%,0.17%,93.14%,6.69%,
"Kakinada, Andhra Pradesh",Ok,"Kakinada, Andhra Pradesh, India",16.9890648,82.2474648,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Coconut, Sugarcane",2.46%,56.25%,41.30%,58.09%,30.75%,11.16%,62.45%,31.93%,5.63%,3.87%,96.06%,0.07%,
"Krishna, Andhra Pradesh",Ok,"Krishna, Andhra Pradesh, India",16.6099914,80.7214417,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Sugarcane, Turmeric",2.99%,66.44%,30.57%,48.69%,32.52%,18.79%,93.49%,5.80%,0.71%,0.09%,98.14%,1.77%,
"Kurnool, Andhra Pradesh",Ok,"Kurnool, Andhra Pradesh, India",15.8281257,78.0372792,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Cotton, Bengal gram",2.57%,76.42%,21.02%,14.09%,75.14%,10.78%,77.28%,21.48%,1.25%,0.09%,91.49%,8.41%,
"Nandyal, Andhra Pradesh",Ok,"Nandyala, Andhra Pradesh, India",15.4776876,78.487285,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Red gram, Sunflower",9.68%,39.47%,50.85%,44.34%,46.33%,9.33%,85.75%,13.86%,0.39%,0.09%,80.01%,19.90%,
"NTR, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Sugarcane, Banana",0.01%,5.98%,94.01%,38.02%,22.91%,39.07%,55.74%,35.83%,8.42%,0.23%,40.87%,58.90%,
"Palnadu, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Cotton, Chillies, Groundnut",2.50%,40.07%,57.43%,23.74%,48.03%,28.23%,75.90%,16.60%,7.49%,0.10%,93.62%,6.28%,
"Parvathipuram Manyam, Andhra Pradesh","Ok, partial match","Parvathipuram, Andhra Pradesh, India",18.7829598,83.4300877,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Millets, Paddy, Pulses",0.19%,34.30%,65.51%,62.82%,19.44%,17.73%,29.24%,33.86%,36.90%,1.22%,97.51%,1.27%,
"Prakasam, Andhra Pradesh",Ok,"Prakasam, Andhra Pradesh, India",15.348463,79.560344,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Tobacco, Groundnut, Paddy",0.19%,1.95%,97.86%,67.95%,27.61%,4.44%,80.79%,18.27%,0.95%,0.08%,80.35%,19.57%,
"Srikakulam, Andhra Pradesh",Ok,"Srikakulam, Andhra Pradesh, India",18.2949165,83.8938018,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Cashew, Coconut",0.08%,13.95%,85.97%,13.97%,84.29%,1.73%,79.52%,18.73%,1.75%,1.06%,98.90%,0.04%,
"Sri Potti Sriramulu Nellore, Andhra Pradesh",Ok,"Sri Potti Sriramulu Nellore, Andhra Pradesh, India",14.2580848,79.9192702,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Groundnut, Sugarcane",0.01%,1.45%,98.54%,72.91%,13.31%,13.77%,21.15%,46.98%,31.87%,1.04%,93.77%,5.19%,
"Sri Sathya Sai, Andhra Pradesh","Ok, partial match","Andhra Pradesh, India",15.9128998,79.7399875,"administrative_area_level_1, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Pulses, Millets",0.01%,6.73%,93.26%,76.63%,20.83%,2.54%,58.36%,39.11%,2.52%,0.03%,99.82%,0.15%,
"Tirupati, Andhra Pradesh",Ok,"Tirupati, Andhra Pradesh, India",13.6287557,79.4191795,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Sugarcane, Groundnut",0.03%,31.80%,68.17%,49.41%,34.56%,16.03%,27.55%,55.17%,17.28%,3.86%,92.68%,3.46%,
"Visakhapatnam, Andhra Pradesh",Ok,"Visakhapatnam, Andhra Pradesh, India",17.6868159,83.2184815,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Millets, Cashew",0.17%,43.74%,56.08%,56.47%,22.44%,21.08%,13.43%,41.16%,45.41%,0.22%,97.10%,2.68%,
"Vizianagaram, Andhra Pradesh",Ok,"Vizianagaram, Andhra Pradesh, India",18.1066576,83.3955506,"locality, political",APPROXIMATE,India,Andhra Pradesh,"Paddy, Groundnut, Pulses",0.03%,6.48%,93.49%,64.75%,31.05%,4.20%,78.92%,20.04%,1.04%,0.04%,99.96%,0%,
"West Godavari, Andhra Pradesh",Ok,"West Godavari, Andhra Pradesh, India",16.9174181,81.3399414,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Sugarcane, Paddy, Coconut",0.06%,10.25%,89.69%,39.74%,46.70%,13.57%,68.02%,25.99%,5.99%,1.82%,98.04%,0.14%,
"YSR (Kadapa), Andhra Pradesh","2 found, use single geocode.","YSR District, Andhra Pradesh, India",14.5767233,78.8382644,"administrative_area_level_3, political",APPROXIMATE,India,Andhra Pradesh,"Groundnut, Cotton, Sunflower",0.09%,3.90%,96.01%,56.83%,21.84%,21.33%,89.72%,8.84%,1.44%,0.25%,83.90%,15.85%,
"Tawang, Arunachal Pradesh","2 found, use single geocode.",Tawang 790104,27.5860574,91.8594062,"locality, political",APPROXIMATE,India,Arunachal Pradesh,"Barley, Buckwheat, Potato, Maize",0%,100%,0%,0.06%,99.94%,0%,0.06%,99.87%,0.06%,90.95%,9.05%,0%,
"West Kameng, Arunachal Pradesh",Ok,West Kameng,27.3427633,92.302446,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millets, Pulses, Large Cardamom",5.88%,56.44%,37.68%,25.27%,63.87%,10.86%,5.25%,54.58%,40.16%,84.87%,15.05%,0.07%,
"East Kameng, Arunachal Pradesh",Ok,East Kameng,27.6141916,92.8577105,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millet, Orange, Ginger",43.10%,40.97%,15.93%,1.20%,86.61%,12.19%,59.07%,39.02%,1.91%,57.42%,42.58%,0%,
"Pakke-Kessang, Arunachal Pradesh",Ok,Pakke Kessang,27.0471985,93.0175712,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Ginger, Turmeric, Vegetables",38.28%,44.02%,17.70%,1.24%,79.67%,19.09%,57.48%,39.16%,3.35%,68.22%,31.78%,0%,
"Papum Pare, Arunachal Pradesh",Ok,Papum Pare,27.2240654,93.5003454,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Maize, Ginger, Pineapple",0.02%,99.53%,0.45%,0.23%,99.63%,0.14%,0.02%,99.03%,0.95%,17.53%,82.47%,0%,
"Kurung Kumey, Arunachal Pradesh",Ok,Kurung Kumey,28.073758,93.2583626,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millets, Pulses, Potato",0.03%,99.27%,0.70%,0.15%,99.05%,0.80%,0.05%,99.10%,0.85%,19.71%,80.29%,0%,
"Kra Daadi, Arunachal Pradesh",Ok,Kra Daadi,28.0157633,93.7029002,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millet, Ginger, Tuber crops",0.13%,99.56%,0.30%,0.10%,99.83%,0.07%,0.10%,97.38%,2.52%,13.30%,86.70%,0%,
"Lower Subansiri, Arunachal Pradesh",Ok,Lower Subansiri,27.5910076,93.8248241,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Maize, Ginger, Millet",14.83%,84.33%,0.83%,99.36%,0.32%,0.32%,2.86%,77.92%,19.22%,22.24%,77.76%,0%,
"Upper Subansiri, Arunachal Pradesh",Ok,Upper Subansiri,28.3348801,93.9878427,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millet, Soybean, Potato",0%,99.52%,0.48%,0%,99.91%,0.09%,0.18%,98.86%,0.97%,18.65%,81.35%,0%,
"West Siang, Arunachal Pradesh",Ok,West Siang,28.1782689,94.5211935,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Paddy, Maize, Orange, Banana",0.04%,99.60%,0.37%,0.15%,99.71%,0.15%,0.04%,98.39%,1.57%,14.59%,85.37%,0.04%,
"East Siang, Arunachal Pradesh",Ok,"East Siang, Arunachal Pradesh, India",28.0550482,95.3520876,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Paddy, Maize, Ginger, Banana",79.14%,20.21%,0.66%,27.17%,67.73%,5.11%,5.59%,83.95%,10.46%,78.20%,21.77%,0.03%,
"Siang, Arunachal Pradesh",Ok,Siang,28.5006832,94.645035,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Paddy, Banana, Citrus fruits",75.75%,23.69%,0.55%,54.12%,43.50%,2.38%,9.35%,82.12%,8.54%,81.52%,18.48%,0%,
"Upper Siang, Arunachal Pradesh",Ok,Upper Siang,28.8612898,94.976654,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millets, Fruits, Tuber crops",0.65%,65.44%,33.91%,0.05%,75.01%,24.93%,3.51%,69.89%,26.61%,25.55%,74.45%,0%,
"Lower Siang, Arunachal Pradesh",Ok,"Lower Siang, Arunachal Pradesh, India",27.8015684,94.6037231,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Paddy, Banana, Ginger, Vegetables",70.31%,29.04%,0.65%,39.38%,56.01%,4.61%,5.56%,80.60%,13.84%,85.36%,14.56%,0.09%,
"Lower Dibang Valley, Arunachal Pradesh",Ok,"Lower Dibang Valley, Arunachal Pradesh, India",28.0829633,95.8142885,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Maize, Ginger, Citrus",0.83%,85.31%,13.87%,42.50%,16.93%,40.57%,3.63%,31.67%,64.69%,44.39%,55.61%,0%,
"Dibang Valley, Arunachal Pradesh",Ok,Dibang Valley,28.7312796,95.8987139,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Millets, Barley, Potato, Tuber crops",0.62%,99.38%,0%,76.54%,23.46%,0%,25.93%,74.07%,0%,54.32%,45.68%,0%,
"Anjaw, Arunachal Pradesh",Ok,"Anjaw, Arunachal Pradesh, India",28.0359962,96.8350999,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Maize, Millets, Ginger, Citrus fruits",0%,93.65%,6.35%,65.78%,16.42%,17.80%,20.78%,10.04%,69.18%,28.89%,68.45%,2.67%,
"Lohit, Arunachal Pradesh",Ok,"Lohit, Arunachal Pradesh, India",28.0682343,96.1526985,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Maize, Ginger, Turmeric",0%,76.99%,23.01%,63.31%,13.93%,22.77%,25.39%,9.50%,65.12%,42.89%,53.87%,3.24%,
"Namsai, Arunachal Pradesh",Ok,"Namsai, Arunachal Pradesh 792103, India",27.6666459,95.8625935,"locality, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Sugarcane, Ginger, Mustard",2.41%,42.10%,55.49%,47.52%,37.30%,15.18%,28.50%,20.10%,51.41%,32.81%,66.89%,0.31%,
"Changlang, Arunachal Pradesh",Ok,"Changlang, Arunachal Pradesh 792120, India",27.1355348,95.7364417,"locality, political",APPROXIMATE,India,Arunachal Pradesh,"Paddy, Maize, Mustard, Soybean",1.27%,89.40%,9.33%,27.11%,61.48%,11.41%,1.43%,76.81%,21.76%,71.27%,28.70%,0.04%,
"Tirap, Arunachal Pradesh",Ok,"Tirap, Arunachal Pradesh, India",27.0185604,95.5197394,"administrative_area_level_3, political",APPROXIMATE,India,Arunachal Pradesh,"Rice, Ginger, Turmeric, Mustard",17.29%,82.33%,0.38%,0.07%,99.93%,0%,60.66%,37.73%,1.61%,92.75%,7.25%,0%,
